#format table ## [Custom WaveView] saved 04:35:29 Wed Sep 24 2025
TIME ,current_in 
 2.153836858E-05 , 5.393193662E-02 
 2.157089322E-05 , 5.565545335E-02 
 2.165012509E-05 , 5.977328494E-02 
 2.180262631E-05 , 6.750273705E-02 
 2.206000887E-05 , 8.025970310E-02 
 2.237328054E-05 , 9.556037188E-02 
 2.279973450E-05 , 1.162188798E-01 
 2.336046783E-05 , 1.432706565E-01 
 2.396590239E-05 , 1.724205762E-01 
 2.482649068E-05 , 2.150424421E-01 
 2.545071000E-05 , 2.514485419E-01 
 2.561352368E-05 , 2.636030316E-01 
 2.588476596E-05 , 2.876984775E-01 
 2.601737244E-05 , 3.061774373E-01 
 2.613822689E-05 , 3.269416094E-01 
 2.619865411E-05 , 3.438115716E-01 
 2.624022012E-05 , 3.570446372E-01 
 2.627099655E-05 , 3.712364137E-01 
 2.628455861E-05 , 3.778734803E-01 
 2.632795721E-05 , 4.067309201E-01 
 2.633527187E-05 , 4.131592512E-01 
 2.633965383E-05 , 4.171348214E-01 
 2.634315940E-05 , 4.209611118E-01 
 2.634486746E-05 , 4.229877591E-01 
 2.635033323E-05 , 4.290998876E-01 
 2.635375006E-05 , 3.965383768E-01 
 2.635646111E-05 , 3.513414264E-01 
 2.636072432E-05 , 2.872332335E-01 
 2.636369822E-05 , 2.422765493E-01 
 2.636844594E-05 , 1.765749454E-01 
 2.637447183E-05 , 1.003632173E-01 
 2.638229295E-05 , 5.236048624E-02 
 2.639213309E-05 , 4.932376742E-02 
 2.640673576E-05 , 5.065374076E-02 
 2.641910877E-05 , 4.991063103E-02 
 2.642529528E-05 , 5.009092391E-02 
 2.643063732E-05 , 5.015360937E-02 
 2.644773186E-05 , 5.012575164E-02 
 2.646133235E-05 , 4.559408501E-02 
 2.646985710E-05 , 4.512038082E-02 
 2.647695367E-05 , 4.571285844E-02 
 2.648050196E-05 , 4.583419114E-02 
 2.648358089E-05 , 4.600708187E-02 
 2.649070247E-05 , 4.642718658E-02 
 2.650052024E-05 , 4.698559642E-02 
 2.650594205E-05 , 4.729623348E-02 
 2.651839849E-05 , 4.799847305E-02 
 2.654874308E-05 , 4.967709631E-02 
 2.661883641E-05 , 5.343454331E-02 
 2.669511480E-05 , 5.739586800E-02 
 2.684985433E-05 , 6.523388624E-02 
 2.706961495E-05 , 7.612625510E-02 
 2.739689175E-05 , 9.214106947E-02 
 2.768145164E-05 , 1.059218720E-01 
 2.844850412E-05 , 1.428801268E-01 
 2.906559360E-05 , 1.725452989E-01 
 2.998148140E-05 , 2.181161046E-01 
 3.061746705E-05 , 2.564919591E-01 
 3.077476268E-05 , 2.690013945E-01 
 3.103000291E-05 , 2.935869396E-01 
 3.116414304E-05 , 3.159208596E-01 
 3.126424059E-05 , 3.364159167E-01 
 3.132546698E-05 , 3.591953218E-01 
 3.134826023E-05 , 3.684496880E-01 
 3.136649483E-05 , 3.778939545E-01 
 3.137786569E-05 , 3.841084242E-01 
 3.141393464E-05 , 4.096779227E-01 
 3.141942964E-05 , 4.146020114E-01 
 3.142331013E-05 , 4.182235301E-01 
 3.142641453E-05 , 4.219109118E-01 
 3.142767144E-05 , 4.235194921E-01 
 3.143169354E-05 , 4.302591383E-01 
 3.143462620E-05 , 4.118651450E-01 
 3.143711932E-05 , 3.734015524E-01 
 3.143998755E-05 , 3.282018900E-01 
 3.144257697E-05 , 2.888556123E-01 
 3.144775580E-05 , 2.132836431E-01 
 3.145625499E-05 , 1.037827879E-01 
 3.146966275E-05 , 4.440982640E-02 
 3.148207182E-05 , 5.325777084E-02 
 3.149708410E-05 , 4.818135127E-02 
 3.151174236E-05 , 5.104945228E-02 
 3.153375171E-05 , 4.920209199E-02 
 3.155161077E-05 , 4.699924961E-02 
 3.156338320E-05 , 4.747064784E-02 
 3.157202174E-05 , 4.816453904E-02 
 3.157458375E-05 , 4.821722955E-02 
 3.157744677E-05 , 4.836910591E-02 
 3.157903721E-05 , 4.846445099E-02 
 3.158412663E-05 , 4.875500873E-02 
 3.159408560E-05 , 4.931700602E-02 
 3.161482813E-05 , 5.047128722E-02 
 3.165803066E-05 , 5.281343311E-02 
 3.171972313E-05 , 5.607230589E-02 
 3.183144413E-05 , 6.180349365E-02 
 3.188003715E-05 , 6.424463540E-02 
 3.202610178E-05 , 7.152251154E-02 
 3.229484268E-05 , 8.470863104E-02 
 3.289621085E-05 , 1.138062924E-01 
 3.333883583E-05 , 1.350529045E-01 
 3.411535684E-05 , 1.722832173E-01 
 3.506257655E-05 , 2.194219232E-01 
 3.571853634E-05 , 2.598361373E-01 
 3.588560215E-05 , 2.739588320E-01 
 3.611761316E-05 , 2.977885306E-01 
 3.625798241E-05 , 3.257791400E-01 
 3.633643702E-05 , 3.447959125E-01 
 3.638683768E-05 , 3.659882247E-01 
 3.640505070E-05 , 3.742483854E-01 
 3.641962111E-05 , 3.823890090E-01 
 3.643073499E-05 , 3.889523745E-01 
 3.646415294E-05 , 4.142442346E-01 
