#format table ## [Custom WaveView] saved 04:36:04 Wed Sep 24 2025
TIME ,v_u 
 2.152820463E-05 , 4.976141825E-02 
 2.153836858E-05 , 4.978958145E-02 
 2.157089322E-05 , 4.987094924E-02 
 2.165012509E-05 , 5.001929775E-02 
 2.180262631E-05 , 5.020320415E-02 
 2.206000887E-05 , 5.038907751E-02 
 2.237328054E-05 , 5.053037032E-02 
 2.279973450E-05 , 5.065871403E-02 
 2.336046783E-05 , 5.077955872E-02 
 2.396590239E-05 , 5.086780339E-02 
 2.482649068E-05 , 5.096073076E-02 
 2.545071000E-05 , 5.101542547E-02 
 2.561352368E-05 , 5.102931336E-02 
 2.588476596E-05 , 5.105380714E-02 
 2.601737244E-05 , 5.106871948E-02 
 2.613822689E-05 , 5.108429492E-02 
 2.619865411E-05 , 5.109544843E-02 
 2.624022012E-05 , 5.110398680E-02 
 2.627099655E-05 , 5.111265928E-02 
 2.628455861E-05 , 5.111668631E-02 
 2.632795721E-05 , 5.113335326E-02 
 2.633527187E-05 , 5.113691837E-02 
 2.633965383E-05 , 5.113913119E-02 
 2.634315940E-05 , 5.114232376E-02 
 2.634486746E-05 , 5.114487559E-02 
 2.635033323E-05 , 5.168811977E-02 
 2.635375006E-05 , 5.251608044E-02 
 2.635646111E-05 , 5.324238539E-02 
 2.636072432E-05 , 5.435239151E-02 
 2.636369822E-05 , 5.514198914E-02 
 2.636844594E-05 , 5.638863519E-02 
 2.637447183E-05 , 5.798513442E-02 
 2.638229295E-05 , 6.007214636E-02 
 2.639213309E-05 , 6.273748726E-02 
 2.640673576E-05 , 6.669656932E-02 
 2.641910877E-05 , 7.001759112E-02 
 2.642529528E-05 , 7.156941295E-02 
 2.643063732E-05 , 7.284601033E-02 
 2.644773186E-05 , 7.534254342E-02 
 2.646133235E-05 , 7.592739910E-02 
 2.646985710E-05 , 7.608743012E-02 
 2.647695367E-05 , 7.618663460E-02 
 2.648050196E-05 , 7.622593641E-02 
 2.648358089E-05 , 7.625871897E-02 
 2.649070247E-05 , 7.632596791E-02 
 2.650052024E-05 , 7.640352845E-02 
 2.650594205E-05 , 7.643862814E-02 
 2.651839849E-05 , 7.651231438E-02 
 2.654874308E-05 , 7.665050775E-02 
 2.661883641E-05 , 7.685793191E-02 
 2.669511480E-05 , 7.699652016E-02 
 2.684985433E-05 , 7.717759162E-02 
 2.706961495E-05 , 7.733340561E-02 
 2.739689175E-05 , 7.748814672E-02 
 2.768145164E-05 , 7.757110149E-02 
 2.844850412E-05 , 7.772016525E-02 
 2.906559360E-05 , 7.779216021E-02 
 2.998148140E-05 , 7.786523551E-02 
 3.061746705E-05 , 7.790382951E-02 
 3.077476268E-05 , 7.791334391E-02 
 3.103000291E-05 , 7.793048024E-02 
 3.116414304E-05 , 7.794392854E-02 
 3.126424059E-05 , 7.795593888E-02 
 3.132546698E-05 , 7.796869427E-02 
 3.134826023E-05 , 7.797385752E-02 
 3.136649483E-05 , 7.797908783E-02 
 3.137786569E-05 , 7.798252255E-02 
 3.141393464E-05 , 7.799625397E-02 
 3.141942964E-05 , 7.799885422E-02 
 3.142331013E-05 , 7.800079882E-02 
 3.142641453E-05 , 7.800576091E-02 
 3.142767144E-05 , 7.800962031E-02 
 3.143169354E-05 , 7.840475440E-02 
 3.143462620E-05 , 7.909621298E-02 
 3.143711932E-05 , 7.975032181E-02 
 3.143998755E-05 , 8.048305660E-02 
 3.144257697E-05 , 8.115796000E-02 
 3.144775580E-05 , 8.249744773E-02 
 3.145625499E-05 , 8.470826596E-02 
 3.146966275E-05 , 8.825244755E-02 
 3.148207182E-05 , 9.157937765E-02 
 3.149708410E-05 , 9.557312727E-02 
 3.151174236E-05 , 9.919451177E-02 
 3.153375171E-05 , 1.023971364E-01 
 3.155161077E-05 , 1.031039730E-01 
 3.156338320E-05 , 1.032541618E-01 
 3.157202174E-05 , 1.033365875E-01 
 3.157458375E-05 , 1.033571959E-01 
 3.157744677E-05 , 1.033795401E-01 
 3.157903721E-05 , 1.033913717E-01 
 3.158412663E-05 , 1.034274846E-01 
 3.159408560E-05 , 1.034897715E-01 
 3.161482813E-05 , 1.035947725E-01 
 3.165803066E-05 , 1.037506238E-01 
 3.171972313E-05 , 1.038964316E-01 
 3.183144413E-05 , 1.040641591E-01 
 3.188003715E-05 , 1.041119620E-01 
 3.202610178E-05 , 1.042317972E-01 
 3.229484268E-05 , 1.043714210E-01 
 3.289621085E-05 , 1.045319811E-01 
 3.333883583E-05 , 1.045883745E-01 
 3.411535684E-05 , 1.046442986E-01 
 3.506257655E-05 , 1.046664417E-01 
