#format table ## [Custom WaveView] saved 04:37:16 Wed Sep 24 2025
TIME ,ap 
 2.153836858E-05 ,-2.550916361E-05 
 2.157089322E-05 ,-1.844154758E-05 
 2.165012509E-05 ,-2.500720620E-05 
 2.180262631E-05 ,-3.696987733E-06 
 2.206000887E-05 ,-3.337179078E-05 
 2.237328054E-05 ,-4.679998165E-05 
 2.279973450E-05 ,-1.092210005E-04 
 2.336046783E-05 ,-2.249407316E-06 
 2.396590239E-05 ,-2.095544005E-06 
 2.482649068E-05 ,-1.918630005E-06 
 2.545071000E-05 ,-1.727301822E-07 
 2.561352368E-05 , 7.692574400E-07 
 2.588476596E-05 ,-2.063403457E-07 
 2.601737244E-05 , 2.071257654E-07 
 2.613822689E-05 , 1.418505235E-06 
 2.619865411E-05 , 2.121860007E-06 
 2.624022012E-05 , 3.991346773E-07 
 2.627099655E-05 ,-2.248933561E-05 
 2.628455861E-05 ,-3.362893403E-05 
 2.632795721E-05 ,-2.784701297E-03 
 2.633527187E-05 ,-9.134159423E-03 
 2.633965383E-05 ,-1.080133207E-02 
 2.634315940E-05 , 2.423051000E-02 
 2.634486746E-05 , 5.388667807E-02 
 2.635033323E-05 , 3.974887431E-01 
 2.635375006E-05 , 5.083609819E-01 
 2.635646111E-05 , 4.937190413E-01 
 2.636072432E-05 , 5.034243464E-01 
 2.636369822E-05 , 4.970137775E-01 
 2.636844594E-05 , 5.013231635E-01 
 2.637447183E-05 , 4.981667101E-01 
 2.638229295E-05 , 5.011190772E-01 
 2.639213309E-05 , 4.990393817E-01 
 2.640673576E-05 , 5.008656383E-01 
 2.641910877E-05 , 4.992501140E-01 
 2.642529528E-05 , 5.004284978E-01 
 2.643063732E-05 , 5.011127591E-01 
 2.644773186E-05 , 5.111679435E-01 
 2.646133235E-05 , 8.074279875E-02 
 2.646985710E-05 ,-7.074268069E-03 
 2.647695367E-05 , 8.016362786E-03 
 2.648050196E-05 , 3.018108837E-04 
 2.648358089E-05 ,-3.504857305E-04 
 2.649070247E-05 , 2.090793860E-04 
 2.650052024E-05 ,-2.714427246E-04 
 2.650594205E-05 ,-9.710408449E-06 
 2.651839849E-05 , 7.442560218E-06 
 2.654874308E-05 ,-8.753031580E-06 
 2.661883641E-05 , 3.686559467E-06 
 2.669511480E-05 ,-8.695908036E-06 
 2.684985433E-05 ,-2.485291043E-05 
 2.706961495E-05 ,-1.188602691E-04 
 2.739689175E-05 ,-7.179005024E-06 
 2.768145164E-05 ,-6.888570624E-06 
 2.844850412E-05 ,-7.183632533E-06 
 2.906559360E-05 ,-6.891610155E-06 
 2.998148140E-05 ,-7.144710253E-06 
 3.061746705E-05 ,-6.631116321E-06 
 3.077476268E-05 ,-6.341477729E-06 
 3.103000291E-05 ,-5.620166121E-06 
 3.116414304E-05 ,-4.426704436E-06 
 3.126424059E-05 ,-2.127268317E-06 
 3.132546698E-05 , 1.288408112E-05 
 3.134826023E-05 , 2.467165905E-05 
 3.136649483E-05 , 5.997033077E-05 
 3.137786569E-05 , 1.351944775E-05 
 3.141393464E-05 ,-8.071964607E-03 
 3.141942964E-05 ,-1.259966195E-02 
 3.142331013E-05 ,-1.023229770E-02 
 3.142641453E-05 , 4.434285313E-02 
 3.142767144E-05 , 7.563123852E-02 
 3.143169354E-05 , 3.412628472E-01 
 3.143462620E-05 , 4.955683351E-01 
 3.143711932E-05 , 5.008928180E-01 
 3.143998755E-05 , 4.985961318E-01 
 3.144257697E-05 , 4.998744130E-01 
 3.144775580E-05 , 4.991717339E-01 
 3.145625499E-05 , 4.997690618E-01 
 3.146966275E-05 , 4.998303354E-01 
 3.148207182E-05 , 5.001688004E-01 
 3.149708410E-05 , 4.998809397E-01 
 3.151174236E-05 , 5.014911890E-01 
 3.153375171E-05 , 4.830201864E-01 
 3.155161077E-05 , 1.166285574E-02 
 3.156338320E-05 ,-8.134561591E-03 
 3.157202174E-05 , 8.976547979E-03 
 3.157458375E-05 , 6.118533784E-04 
 3.157744677E-05 ,-4.657405079E-04 
 3.157903721E-05 ,-5.973510270E-05 
 3.158412663E-05 , 2.628968650E-05 
 3.159408560E-05 ,-3.993041901E-05 
 3.161482813E-05 ,-9.541821782E-06 
 3.165803066E-05 ,-3.075216082E-04 
 3.171972313E-05 , 1.294057802E-05 
 3.183144413E-05 ,-1.003175566E-04 
 3.188003715E-05 ,-5.154223800E-06 
 3.202610178E-05 ,-4.471570264E-06 
 3.229484268E-05 ,-5.182262612E-06 
 3.289621085E-05 ,-4.500488103E-06 
 3.333883583E-05 ,-5.196291113E-06 
 3.411535684E-05 ,-4.503237960E-06 
 3.506257655E-05 ,-5.109017366E-06 
 3.571853634E-05 ,-3.950040082E-06 
 3.588560215E-05 ,-3.992897291E-06 
 3.611761316E-05 ,-3.291409257E-06 
 3.625798241E-05 ,-1.511208893E-06 
 3.633643702E-05 , 1.651448883E-06 
 3.638683768E-05 , 3.106226723E-05 
 3.640505070E-05 , 4.492768494E-05 
 3.641962111E-05 , 5.578486525E-05 
 3.643073499E-05 , 2.440830758E-05 
 3.646415294E-05 ,-1.515727863E-02 
 3.648266384E-05 , 4.652770162E-01 
 3.648593474E-05 , 4.952453077E-01 
 3.648816630E-05 , 5.006375909E-01 
 3.649530726E-05 , 4.986822903E-01 
 3.650158337E-05 , 5.004324913E-01 
 3.651115883E-05 , 5.000312328E-01 
 3.651902087E-05 , 4.999201298E-01 
 3.653278506E-05 , 5.001116395E-01 
 3.654566401E-05 , 5.003220439E-01 
 3.657000570E-05 , 5.176389813E-01 
 3.658762529E-05 , 1.683504134E-02 
 3.659885216E-05 ,-8.498220704E-03 
 3.660733362E-05 , 1.035341248E-02 
 3.660984337E-05 , 6.953175762E-04 
 3.661247221E-05 ,-5.433284678E-04 
 3.661395037E-05 ,-1.973476319E-04 
 3.661866480E-05 ,-1.021299031E-04 
 3.662788999E-05 ,-4.130696107E-05 
 3.664826827E-05 ,-5.398113353E-05 
 3.668907802E-05 ,-1.128805889E-04 
 3.674478916E-05 ,-4.083495151E-05 
 3.683521820E-05 ,-6.734224735E-05 
 3.688043272E-05 ,-1.928980419E-05 
 3.701178507E-05 ,-1.903868906E-05 
 3.725864251E-05 ,-1.936730769E-05 
 3.796778680E-05 ,-1.911615982E-05 
 3.835451690E-05 ,-1.940980655E-05 
 3.913818800E-05 ,-1.911872096E-05 
 4.004051150E-05 ,-1.927475932E-05 
 4.069636375E-05 ,-1.824547689E-05 
 4.088974955E-05 ,-1.782408617E-05 
 4.114491231E-05 ,-1.824003994E-05 
 4.129694346E-05 ,-1.747017268E-05 
 4.140620032E-05 ,-1.570944733E-05 
 4.148564338E-05 ,-6.749631211E-06 
 4.151481535E-05 , 4.736945812E-06 
 4.153815292E-05 , 6.197499897E-05 
 4.155050844E-05 , 9.226547991E-05 
 4.159004611E-05 ,-1.045142300E-03 
 4.159708686E-05 ,-6.137873977E-03 
 4.160154562E-05 ,-1.009585615E-02 
 4.160511263E-05 ,-6.454387680E-03 
 4.160759560E-05 , 5.594873335E-03 
 4.161440026E-05 , 3.630530834E-01 
 4.161814718E-05 , 5.043950081E-01 
 4.162147119E-05 , 4.961099327E-01 
 4.162537945E-05 , 5.017094016E-01 
 4.162856933E-05 , 4.980321825E-01 
 4.163452295E-05 , 5.007240772E-01 
 4.164216073E-05 , 4.986829162E-01 
 4.165321785E-05 , 5.009265542E-01 
 4.166579978E-05 , 4.992001951E-01 
 4.167831018E-05 , 5.007833242E-01 
 4.169357819E-05 , 4.995545745E-01 
 4.169917877E-05 , 5.022405982E-01 
 4.170297678E-05 , 5.039383769E-01 
 4.171513039E-05 , 5.055575967E-01 
 4.173367313E-05 , 1.260697562E-02 
 4.174274307E-05 ,-7.867831737E-03 
 4.175021255E-05 , 8.851767518E-03 
 4.175276178E-05 , 5.970508209E-04 
 4.175540380E-05 ,-4.490875290E-04 
 4.176136457E-05 , 2.929343027E-04 
 4.176886410E-05 ,-3.716483770E-04 
 4.177278843E-05 ,-1.779593549E-05 
 4.178534631E-05 , 1.407920627E-05 
 4.181292608E-05 ,-1.680297828E-05 
 4.186667647E-05 ,-1.398965833E-05 
 4.194783208E-05 ,-5.870062887E-05 
 4.209728812E-05 , 3.638757789E-06 
 4.231712283E-05 ,-2.429048436E-05 
 4.239428654E-05 ,-4.646509524E-07 
 4.262154463E-05 ,-4.406237224E-07 
 4.304618616E-05 ,-4.826226245E-07 
 4.368750721E-05 ,-4.541828673E-07 
 4.450861467E-05 ,-4.853835094E-07 
 4.536059487E-05 ,-3.693418762E-07 
 4.604697909E-05 , 7.646978162E-08 
 4.620560425E-05 , 2.993307930E-07 
 4.644695441E-05 , 1.103513455E-06 
 4.658451366E-05 , 2.823812792E-06 
 4.666367321E-05 , 5.497001894E-06 
 4.671183120E-05 , 2.155721450E-05 
 4.673007738E-05 , 2.985941501E-05 
 4.674467433E-05 , 3.568514148E-05 
 4.675570448E-05 , 1.563306068E-05 
 4.678862964E-05 ,-1.545579080E-02 
 4.680703891E-05 , 4.638980031E-01 
 4.681027949E-05 , 4.949968457E-01 
 4.681252463E-05 , 5.006902814E-01 
 4.681970908E-05 , 4.986532032E-01 
 4.682588974E-05 , 5.004588962E-01 
 4.683532865E-05 , 4.992105663E-01 
 4.684654656E-05 , 5.006628633E-01 
 4.686203354E-05 , 4.994073808E-01 
 4.687517757E-05 , 5.021908879E-01 
 4.689695974E-05 , 4.840465486E-01 
 4.690137841E-05 , 4.230659008E-01 
 4.690416217E-05 , 3.421079814E-01 
 4.691105910E-05 , 1.278208662E-02 
 4.691895154E-05 ,-7.569429930E-03 
 4.692297140E-05 , 7.553848904E-03 
 4.692813135E-05 ,-5.654275417E-03 
 4.693449205E-05 , 5.541303195E-03 
 4.694093925E-05 ,-4.726268817E-03 
 4.694897763E-05 , 4.492594395E-03 
 4.695845822E-05 ,-3.858629847E-03 
 4.696977221E-05 , 3.874340560E-03 
 4.698383430E-05 ,-3.430821234E-03 
 4.700119521E-05 , 3.503919579E-03 
 4.700662956E-05 , 1.069969803E-04 
 4.701587221E-05 ,-1.093871761E-04 
 4.703484775E-05 ,-4.701052603E-05 
 4.705976047E-05 ,-1.044301462E-04 
 4.707969064E-05 ,-1.400564906E-05 
 4.714346721E-05 ,-1.239314406E-05 
 4.731970030E-05 ,-1.401806003E-05 
 4.764110546E-05 ,-1.463995868E-04 
 4.795670530E-05 ,-1.133218975E-04 
 4.840485748E-05 , 7.831783932E-07 
 4.898432770E-05 ,-2.118974407E-06 
 5.008250122E-05 ,-9.134113498E-05 
 5.082597611E-05 ,-9.310690803E-05 
 5.104252687E-05 ,-9.220094216E-05 
 5.135168012E-05 ,-9.208780102E-05 
 5.150092971E-05 ,-9.200070781E-05 
 5.170693994E-05 ,-9.092392429E-05 
 5.184045206E-05 ,-8.957670070E-05 
 5.193805126E-05 ,-8.640595479E-05 
 5.200530345E-05 ,-4.742665260E-05 
 5.202827828E-05 ,-1.765796515E-05 
 5.204665815E-05 , 9.084524208E-05 
 5.205822252E-05 , 1.567106847E-05 
 5.209506550E-05 ,-5.145234987E-03 
 5.210086209E-05 ,-1.056559198E-02 
 5.210488438E-05 ,-1.197976526E-02 
 5.210810221E-05 , 1.802175306E-02 
 5.210979656E-05 , 4.568904638E-02 
 5.211521849E-05 , 3.832739294E-01 
 5.211857487E-05 , 5.061811805E-01 
 5.212131431E-05 , 4.952850938E-01 
 5.212515759E-05 , 5.026676059E-01 
 5.212805092E-05 , 4.978682995E-01 
 5.213301032E-05 , 5.006946921E-01 
 5.213942825E-05 , 4.986029863E-01 
 5.214841210E-05 , 5.008186102E-01 
 5.215878632E-05 , 4.992940724E-01 
 5.217321225E-05 , 5.007994771E-01 
 5.218603432E-05 , 4.995397329E-01 
 5.221167846E-05 , 5.382837653E-01 
 5.222955073E-05 , 2.078288607E-02 
